iso_code,country,sdg_region,bound,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,
AUS,Australia,Oceania,Median,9.1953,8.6613,8.1516,7.6980,7.3144,7.0101,6.7747,6.5926,6.4459,6.3157,6.1924,6.0771,5.9820,5.9091,5.8321,5.7246,5.5841,5.4139,5.2193,5.0028,4.7694,4.5339,4.3146,4.1260,3.9793,3.8810,3.8255,3.7986,3.7890,3.7838,3.7730,3.7495,3.7134,3.6655,,,,,,,,,
AUS,Australia,Oceania,Upper,9.3748,8.8270,8.3103,7.8437,7.4560,7.1430,6.9050,6.7218,6.5694,6.4382,6.3108,6.1968,6.1036,6.0255,5.9497,5.8406,5.6970,5.5253,5.3236,5.1066,4.8664,4.6267,4.4051,4.2131,4.0673,3.9664,3.9101,3.8851,3.8751,3.8749,3.8615,3.8379,3.8161,3.8092,,,,,,,,,
AUT,Austria,Europe and Northern America,Lower,9.2577,8.7994,8.2865,7.7317,7.1460,6.6189,6.1623,5.8117,5.5831,5.4209,5.3121,5.2143,5.1150,5.0023,4.8716,4.7294,4.5886,4.4677,4.3756,4.2793,4.1629,4.0311,3.8898,3.7598,3.6449,3.5618,3.5021,3.4505,3.4062,3.3478,3.2769,3.1807,3.0553,2.8995,,,,,,,,,
AUT,Austria,Europe and Northern America,Median,9.5040,9.0395,8.5239,7.9459,7.3624,6.8229,6.3690,6.0194,5.7782,5.6151,5.4989,5.4034,5.3067,5.1879,5.0508,4.9058,4.7656,4.6427,4.5434,4.4441,4.3258,4.1883,4.0477,3.9170,3.8025,3.7122,3.6467,3.5938,3.5486,3.4937,3.4205,3.3291,3.2288,3.1264,,,,,,,,,
AUT,Austria,Europe and Northern America,Upper,9.7611,9.2937,8.7781,8.1758,7.5796,7.0285,6.5786,6.2299,5.9819,5.8164,5.6930,5.6036,5.5069,5.3799,5.2466,5.0932,4.9470,4.8217,4.7163,4.6212,4.4969,4.3539,4.2113,4.0702,3.9587,3.8665,3.7970,3.7429,3.6957,3.6442,3.5701,3.4832,3.4089,3.3717,,,,,,,,,
AZE,Azerbaijan,Northern Africa and Western Asia,Lower,85.7585,85.8209,86.0946,86.3321,85.8309,84.5486,82.2945,79.2839,75.4326,70.9921,65.9511,60.8704,55.9875,51.7272,47.7567,44.2778,41.2270,38.4427,35.9006,33.4609,31.0830,28.9843,26.9823,25.1675,23.4655,21.8907,20.4843,19.1241,17.8201,16.6716,15.5430,14.4290,13.2897,12.2099,,,,,,,,,
AZE,Azerbaijan,Northern Africa and Western Asia,Median,94.8302,94.9609,95.1759,95.2317,94.7273,93.3948,91.0321,87.7647,83.6773,79.0594,74.0347,69.0202,64.1261,59.5717,55.4696,51.8348,48.4940,45.4542,42.6721,40.1174,37.7030,35.3758,33.2253,31.2482,29.4655,27.8065,26.2971,24.9221,23.6160,22.4372,21.3304,20.3674,19.4345,18.5556,,,,,,,,,
AZE,Azerbaijan,Northern Africa and Western Asia,Upper,105.0018,105.0656,105.2036,105.1367,104.6699,103.3583,100.9842,97.7082,93.5116,88.5870,83.2768,78.1023,73.0829,68.3050,64.0415,60.1138,56.6463,53.4945,50.6351,48.0300,45.5550,43.1603,40.8278,38.7318,36.7996,34.9286,33.4312,32.2080,31.0484,30.1237,29.4307,28.8652,28.5705,28.4047,,,,,,,,,
BDI,Burundi,Sub-Saharan Africa,Lower,152.7271,154.0727,154.8909,175.7213,155.1543,154.4084,152.8611,150.5189,147.2586,143.3821,138.9747,134.1914,128.9435,123.4266,117.2140,110.9269,104.0959,97.3104,90.6739,84.2164,78.2303,72.6134,66.8366,61.4627,56.1604,51.6948,47.7411,43.9629,40.7276,37.8418,35.2181,32.9086,30.7141,28.6826,,,,,,,,,
BDI,Burundi,Sub-Saharan Africa,Median,169.8422,171.0695,172.0575,195.0114,172.1878,171.2310,169.4541,166.7335,163.0143,158.5945,153.6862,148.5009,143.0138,137.3155,131.0033,124.1002,116.8132,109.7066,102.8436,96.5989,90.7784,85.2533,80.1795,75.4602,71.2953,67.5575,64.3729,61.4824,58.9925,56.6573,54.6319,52.6478,50.8367,49.2072,,,,,,,,,
